player_names,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,matchup,effective_fg_percentage,sports_book,bet_type,over/under,odds,stat_threshold
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds,Over,2.2,4.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds,Under,1.65,4.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds_assists,Over,1.74,10.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_rebounds_assists,Under,2.06,10.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_threes,Over,2.18,3.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_threes,Under,1.67,3.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_assists,Over,1.9,2.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_assists,Under,1.87,2.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points,Over,1.9,17.5
Tobias Harris,PF/SF,PHI,OKC,37.7442,75.8847,34.396,18.147,2.99233,7.366,1.707,5.659,0.510667,0.898667,3.21633,1.30667,9.04933,5.12367,4.35067,1.80667,2.85633,2.47967,PF/SF,False,0.188,0.000333333,,fd,8.82673,28.3,34.2,40.4,43.6,48.7,55.501,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,58.46026119402985,fanduel,player_points,Under,1.87,17.5
