player_names,bet_type,over/under,stat_threshold,odds,us_odds,implied_probability,sportsbook_prob,edge,ev,composite_z_score
Khris Middleton,player_points_alternate,Over,14.5,1.71,-140,0.5707546978572533,0.5833333333333334,-0.012578635476080069,-0.021563375101851523,0.49794912882494785
LaMelo Ball,player_points_alternate,Over,26.5,1.5,-200,0.5545437144520259,0.6666666666666666,-0.11212295221464075,-0.16818442832196118,-0.7049521113707288
Damian Lillard,player_assists,Under,7.5,1.6,-166,0.4607373792986531,0.6240601503759399,-0.16332277107728677,-0.2617099825696282,-1.9589082290935569
Marvin Bagley,player_rebounds_alternate,Over,3.5,1.42,-238,0.6237935764089996,0.7041420118343196,-0.08034843542532,-0.11410828224268138,0.1312313899079087
Jalen Duren,player_rebounds_alternate,Under,12.5,1.65,-153,0.47244004520897526,0.6047430830039525,-0.13230303779497726,-0.21877561151718472,-1.5505041814975946
Jaden Ivey,player_points_alternate,Under,21.5,1.51,-196,0.5679952398152346,0.6621621621621622,-0.09416692234692758,-0.14221127048311516,-0.42003766419993194
Isaac Okoro,player_points_alternate,Under,10.5,1.62,-161,0.5966361615982281,0.6168582375478927,-0.02022207594966463,-0.03278237157057434,0.585440891776122
Jalen Green,player_points_alternate,Under,18.5,1.65,-153,0.5756264720270576,0.6047430830039525,-0.029116610976894886,-0.04814707566767584,0.33974015681158876
Josh Giddey,player_points_alternate,Under,12.5,1.51,-196,0.5790805494928326,0.6621621621621622,-0.08308161266932956,-0.12547019056184466,-0.2230279302179239
Miles Bridges,player_rebounds_alternate,Under,8.5,1.37,-270,0.5036372842580296,0.7297297297297297,-0.22609244547170015,-0.30983038823899645,-2.196501006185977
Miles Bridges,player_rebounds_alternate,Over,5.5,1.35,-285,0.5968089058067517,0.7402597402597403,-0.14345083445298856,-0.19378446057684418,-0.6914138822491136
Josh Giddey,player_points_alternate,Over,9.5,1.57,-175,0.5783554580116668,0.6363636363636364,-0.058008178351969586,-0.09115570883880936,0.0381323016121981
Jalen Green,player_points_alternate,Over,15.5,1.56,-178,0.5747646074697056,0.6402877697841727,-0.06552316231446709,-0.10233392765967325,-0.06877680645999563
Isaac Okoro,player_points_alternate,Over,7.5,1.44,-227,0.5948833759732743,0.6941896024464832,-0.09930622647320886,-0.14305346280501896,-0.2728230612916042
Jaden Ivey,player_points_alternate,Over,18.5,1.74,-135,0.566511991637233,0.574468085106383,-0.00795609346915005,-0.013849496038890907,0.5241646459591371
Kyrie Irving,player_points,Over,25.5,1.77,-129,0.5554015558549756,0.5633187772925764,-0.007917221437600763,-0.014054602396981197,0.449987719018819
Kevin Durant,player_rebounds_alternate,Over,5.5,1.39,-256,0.5866265021263394,0.7191011235955056,-0.13247462146916622,-0.18422252048055932,-0.6632528914318541
Saddiq Bey,player_points_alternate,Under,15.5,1.61,-163,0.5753720195407165,0.6197718631178707,-0.04439984357715421,-0.07163901141589918,0.16612009673361475
Tyler Herro,player_points_alternate,Under,21.5,1.62,-161,0.5634356011211967,0.6168582375478927,-0.05342263642669598,-0.08660439818240778,-0.01864110158441205
Rudy Gobert,player_rebounds_alternate,Over,11.5,1.34,-294,0.6405330927479319,0.7461928934010152,-0.10565980065308334,-0.14159850835821375,0.0008943418217579602
Jabari Walker,player_points_alternate,Over,9.5,1.62,-161,0.5759614875295714,0.6168582375478927,-0.04089675001832127,-0.06629845810423507,0.20926656989641587
Caleb Martin,player_points_alternate,Over,7.5,1.61,-163,0.5817404609203045,0.6197718631178707,-0.03803140219756618,-0.06136355078503014,0.28180845845133323
Onyeka Okongwu,player_rebounds_alternate,Over,5.5,1.47,-212,0.6257493873312404,0.6794871794871795,-0.0537377921559391,-0.07908580732383491,0.42113742720273195
Giannis Antetokounmpo,player_rebounds_alternate,Over,10.5,1.36,-277,0.6117404680186651,0.7347480106100795,-0.12300754259141444,-0.1674145976785677,-0.38177434070901817
Tyus Jones,player_points_alternate,Under,13.5,1.59,-169,0.5703363809878953,0.6282527881040892,-0.057916407116193946,-0.09218647049855722,-0.018427051998262296
Deandre Ayton,player_rebounds_alternate,Over,7.5,1.65,-153,0.6366909352214614,0.6047430830039525,0.03194785221750884,0.05282880137927931,1.4583635977473666
Brandon Miller,player_points_alternate,Over,16.5,1.62,-161,0.5668635731900813,0.6168582375478927,-0.049994664357811414,-0.08104725091545822,0.043730622591407885
Stephen Curry,player_assists,Over,5.5,1.69,-144,0.6290711192726411,0.5901639344262295,0.03890718484641165,0.06592606321197525,1.4953238663989847
Klay Thompson,player_points_alternate,Under,20.5,1.69,-144,0.5640104486734597,0.5901639344262295,-0.026153485752769767,-0.04431562863663768,0.293364172880428
Victor Wembanyama,player_rebounds_alternate,Over,8.5,1.43,-232,0.6045302548671725,0.6987951807228916,-0.0942649258557191,-0.13489635941421874,-0.15064465947665354
Devin Booker,player_assists_alternate,Over,5.5,1.36,-277,0.6243061853531208,0.7347480106100795,-0.11044182525695878,-0.15031252029557207,-0.16560075699418617
